DOI,,,,,Metal_1,Metal_2,Metal_3,Sample Name,Metal_1_Amount,Metal_2_Amount,Metal_3_Amount,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Acid wash or not,Annealing Temp degree,Annealing Rising Rtae degree min-1,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Proton Concentration M,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Scanning Speed mV s-1,O2 saturated/1 for yes,Overpotential mV @10 mA cm-2 (raw),Overpotential mV @10 mA cm-2,,
10.1016/j.jallcom.2021.162113,,,,,Cu,Ru,None,Cu-RuO2-200,2.893,0.98,0,74.69661761,25.30338239,0,150,900,0,0,0,0,0,200,10,240,0,0,0,1,0.704,0,0,0,1,1,216,216 ,,
10.1016/j.jallcom.2021.162113,,,,,Cu,Ru,None,Cu-RuO2-300,2.893,0.98,0,74.69661761,25.30338239,0,150,900,0,0,0,0,0,300,10,240,0,0,0,1,0.704,0,0,0,1,1,201,201 ,,
10.1016/j.jallcom.2021.162113,,,,,Cu,Ru,None,Cu-RuO2-400,2.893,0.98,0,74.69661761,25.30338239,0,150,900,0,0,0,0,0,400,10,240,0,0,0,1,0.704,0,0,0,1,1,245,245 ,,
10.1016/j.jallcom.2021.162113,,,,,Cu,Ru,None,Cu-RuO2-500,2.893,0.98,0,74.69661761,25.30338239,0,150,900,0,0,0,0,0,500,10,240,0,0,0,1,0.704,0,0,0,1,1,286,286 ,,
10.1016/j.apcatb.2021.120899,,,,,Co,None,None,Co3O4@C/FTO,1.5,0,0,100,0,0,150,120,0,0,0,0,0,400,3,60,0,0,0,1,0.902,0.198,0,1,1,,422,422 ,,
10.1016/j.apcatb.2021.120899,,,,,Co,Fe,None,Fe-Co3O4@C/FTO,1.5,0.01,0,99.33774834,0.662251656,0,150,120,0,0,0,0,0,400,3,60,0,0,0,1,0.8877,0.2123,0,1,1,,396,396 ,,
10.1016/j.apcatb.2021.120834,,,,,Pd,Ir,None,Pd@Ir c-nc,0.0197,0.00505,0,79.5959596,20.4040404,0,200,120,1,0,1,0,0,25,0,0,0,0,0,0.1,0.068,0.272,0,0,10,0,248,248 ,,
10.1016/j.apcatb.2021.120834,,,,,Pd,Ir,None,Pd@Ir f-nc,0.0788,0.0133,0,85.55917481,14.44082519,0,200,15,1,0,1,0,0,25,0,0,0,0,0,0.1,0.068,0.272,0,0,10,0,292,292 ,,
10.1016/S1872-2067(21)63856-1,,,,,Ru,Pb,None,RuPbOx,0.75,0.15,0,83.33333333,16.66666667,0,0,"2,280",0,0,0,0,0,500,2,60,0,0,0,1,0.229,0.091,0,0,2,,191,191 ,,
10.1016/S1872-2067(21)63856-1,,,,,Ru,Pb,None,RuPbOx,3,1,0,75,25,0,0,"2,280",0,0,0,0,0,500,2,60,0,0,0,1,0.229,0.091,0,0,2,,221,221 ,,
10.1016/S1872-2067(21)63856-1,,,,,Ru,Pb,None,RuPbOx,7,1,0,87.5,12.5,0,0,"2,280",0,0,0,0,0,500,2,60,0,0,0,1,0.229,0.091,0,0,2,,217,217 ,,
10.1016/S1872-2067(21)63856-1,,,,,Ru,Pb,None,RuPbOx,1,0,0,100,0,0,0,"2,280",0,0,0,0,0,500,2,60,0,0,0,1,0.229,0.091,0,0,2,,285,285 ,,
10.1016/j.cej.2021.130762,,,,,Ni,Ru,None,Ni/RuOx@C,1.67,0.836,0,66.64006385,33.35993615,0,25,180,1,0,0,0,0,400,10,180,0,1,0,1,0.063,0.2953,0,0,5,1,211,211 ,,
10.1016/j.cej.2021.130762,,,,,Ni,Ru,None,Ni/RuO x,1.67,0.836,0,66.64006385,33.35993615,0,60,360,1,0,0,0,0,400,10,180,0,1,0,1,0.292,0.0583,0,0,5,1,286,286 ,,
10.1088/1361-6528/ac4068,,,,,Ir,Co,None,IrCo@IrCoOx,0.3,0.1,0,75,25,0,270,120,1,0,1,0,0,25,0,0,0,0,0,1,0.5,0,0,1,5,0,329,329 ,,
10.1088/1361-6528/ac4068,,,,,Ir,Co,None,IrCo-100,0.3,0.1,0,75,25,0,270,120,1,0,1,0,0,100,7,180,0,0,0,1,0.5,0,0,1,5,0,325,325 ,,
10.1088/1361-6528/ac4068,,,,,Ir,Co,None,IrCo-200,0.3,0.1,0,75,25,0,270,120,1,0,1,0,0,200,7,180,0,0,0,1,0.5,0,0,1,5,0,260,260 ,,
10.1088/1361-6528/ac4068,,,,,Ir,Co,None,IrCo-300,0.3,0.1,0,75,25,0,270,120,1,0,1,0,0,300,7,180,0,0,0,1,0.5,0,0,1,5,0,281,281 ,,
10.1088/1361-6528/ac4068,,,,,Ir,Co,None,IrCo-400,0.3,0.1,0,75,25,0,270,120,1,0,1,0,0,400,7,180,0,0,0,1,0.5,0,0,1,5,0,354,354 ,,
10.1088/1361-6528/ac4068,,,,,Ir,Co,None,IrCo-500,0.3,0.1,0,75,25,0,270,120,1,0,1,0,0,500,7,180,0,0,0,1,0.5,0,0,1,5,0,385,385 ,,
10.1016/j.apcatb.2021.120528,,,,,Ru,None,None,RuO2,1,0,0,100,0,0,60,720,1,0,0,0,0,500,10,60,0,0,0,1,0.3,0,0,1,5,,281,281 ,,
10.1016/j.apcatb.2021.120528,,,,,Ru,Ce,Mo,Ru3CeOx,3,1,0,75,25,0,60,720,1,0,0,0,0,500,10,60,0,0,0,1,0.3,0,0,1,5,,262,262 ,,
